dav,swa
Kwa ngolo imweri wepwana kumlomba Mlungu ungirie ghadi ya ijo ilagho.,"Kwa moyo mmoja, walikusanyika ili kumsihi Mungu ili aingilie kati jambo hilo."
Oselia wafungwa.,Aliwatembelea wafungwa.
Weghora ndewine makosa.,Walisema hawana hatia.
Polisi wamu ndewereneghe risasi kwa bunduki rawo.,Baadhi ya maafisa wa polisi walikuwa wamekosa risasi kwenye bunduki zao.
Isanga jesowa sere na wubinana.,Nchi imekosa amani na fanaka.
Wawiadederia katiba.,Anatetea katiba.
Kula mdamu oka na hachi ya wubinana.,Kila binadamu ana haki ya afya.
Ofwana uneko wurighiti ghwa shwawori.,Anapaswa kupata matibabu ya haraka.
Ijo ibonyo jha ijeshi jengira wandu wowa.,Kitendo hicho cha kijeshi kiliwajaza watu hofu.
Magare ghiseko nicha ndeghifwane kuendeshwa.,Magari chini ya hali mbaya ya mitambo haipaswi kuendeshwa.
Barabara nyingi rekakotekakoteka.,Barabara nyingi zina mashimo.
Waboilo ni kazi yape mbishi.,Amefurahia kazi yake mpya.
Wahalifu wengi ni wandu watini.,Wahalifu wengi ni vijana.
Ugho mpango ghwareda kazi kwa wai na wadawana.,Mpango huo umeunda ajira mpya kwa vijana.
Agho maandamano ghashekerie mundu umweri kufwa na wazima kushoghonoka.,Maandamano hayo yalisababisha mmoja kuuawa na wengine kujeruhiwa.
Wanekelo wasi mpaka ukafwa.,Aliteswa hadi kufa.
Awawishoghonokie winekwagha wurighiti.,Waliojeruhiwa watapewa matibabu.
Timu ni suti imbiri ipate rusa.,Timu lazima kwanza ipate ruhusa.
Wana waghorokie.,Watoto walikuwa na nidhamu sana.
Iji isanga jawiaenda kunoneka.,Nchi hii inaelekea kwenye uharibifu.
Wambao wechamselia.,Wenzake walimtembelea.
Mkongo wawiaendelia nicha.,Mgonjwa anaendelea vizuri.
Wededanya kwa chia ya simu.,Walifanya mazungumzo kwa njia ya simu.
Si nicha kungi kutesa wandu.,Si vizuri kuwatesa watu.
Datumia magome ghifumagha bengi.,Tutatumia pesa kutoka benki.
Wandu wadima kulaghashwa ni iyo habari.,Watu wanaweza kupotoshwa na habari hiyo.
Vilongozi wawialwa weni aghadi yawo.,Viongozi wanapigana wao kwa wao.
Koka na kuzamiana aghadi ya vilongozi.,Kuna chuki kati ya viongozi.
Isi niwo washindi wa hachi.,Sisi ndio washindi halali.
Ni suti didai hachi.,Tunapaswa kudai haki.
Wandu weshindana wazidi kuchurikia.,Idadi ya washindani inaendelea kuongezeka.
Omoni nio ufwane kuluya icho kifumbi.,Yeye ndiye mgombea sahihi.
Wapatire kipimo chawo cha imbiri cha kuchanjwa.,Walipokea kipimo chao cha kwanza cha chanjo.
Habari radingira wowa.,Habari zimetutia hofu.
Diendeliagha kubulana.,Tutaendelea kupigana.
Ndewidimagha kubonya ijojose.,Hawawezi kufanya chochote.
Ofungwa.,Alifungwa.
Wefwana wimneke magome ghape seji koni erepangiloghe.,Wanapaswa kumpa pesa zake kama ilivyopangwa.
Ndouko kifungonyi.,Hayupo gerezani.
Habari rafunyire wuloli.,Habari zimefichua ukweli.
Oka na wowa ghwa maisha ghape.,Alihofia maisha yake.
Korekoghe na migogoro kwa malalo ghekabia kura ituku jha wuchagizi.,Kulikuwa na fujo katika baadhi ya vituo vya kupigia kura siku ya uchaguzi.
Bado wadimie kushinda.,Bado aliweza kushinda.
Wakutayarisha sana.,Amejiandaa sana.
Wukelemeri si kusowa kudima.,Ulemavu sio kutokuwa na uwezo.
Kampeni ra wulongozi ghwa isanga razoya juma ichaa.,Kampeni za urais zinaanza wiki ijayo.
Omoni waboilwagha ni wutani ukakaia na wulalo.,Yeye anapenda utani akiwa huru.
Waraendapwana nao.,Walikuwa wanaenda kukutana naye.
Gheko mengi gheghesha ediandagha kwa wuchagizi.,Kuna mengi ya kufikiria tunapoelekea kwenye uchaguzi.
Iyo shughuli etindimishwa.,Shughuli ilisitishwa.
Vilongozi vepwana kuzighana seji ihi saka yawia,Viongozi hao wanakutana kujadili athari za janga hili kwa uchumi.
Ni malagho gha ki-nyumba.,Ni mambo ya familia.
Wuchaguzi ghwadima kucheleshwa kwa wundu ghwa saka.,Uchaguzi unaweza kuahirishwa kwa sababu ya janga.
Wandu wose waweseria majibu gha Mbaa wa isanga.,Kila mtu anasubiri majibu ya rais.
Polisi wawiazighana ijo ilagho.,Polisi wanachunguza suala hilo.
Ndee ni mundu umanyikie.,Baba yake ni maarufu.
Welegha maagizo.,Walikataa maagizo.
Iyo ngano yaandikilo nicha.,Insha imeandikwa vizuri.
Mtalo ghwa wana waskulu ghwapungue.,Idadi ya wanafunzi imepungua.
Iro serikali iwi rajie malagho gha sere.,Serikali hizo mbili zimefanya mazungumzo ya amani.
Wandu wawialawilwa kodi wachurikie.,Wadaiwa wa ushuru wameongezeka.
Weko na wuhusiano ghiboie kazinyi.,Wana uhusiano mzuri wa kufanya kazi.
Obagulwa kwa wundu ghwa wukelemeri.,Anabaguliwa kwa sababu ni mlemavu.
Wurighiti ghunekwagha wandu duhu.,Matibabu yatatolewa bila gharama yoyote.
Ekundika madaktari wiko na wujuzi zaidi hospitai.,Kuna hitaji la madaktari walio na ujuzi zaidi hospitalini.
Waisanga weamua kungia siasa.,Wananchi wameamua kugombania siasa.
Uko kushambulilwa kosigha wandu waenga wishoghonokie kisaya.,Shambulizi hilo limewaacha baadhi ya watu na majeraha mabaya.
Wandu wengi weka na wowa.,Watu wengi wana wasiwasi.
Ofutwa kazi.,Amefutwa kazi.
Wefwana wimsighe huru.,Wanapaswa kumwacha huru.
Wujumbe ghwa aha andu uko rangia kafwani.,Habari za mahali alipo zimeingia hivi punde.
Ndewimanyikie.,Hawakujulikana.
Olemwa ni kutala magome unekelo.,Alishindwa kuhesabu pesa alizopewa.
Mkape oshoghonoka.,Mke wake aliumia.
Oenjwa hospitali uko hali izamie.,Alipelekwa hospitali akiwa hali mbaya sana.
Eko shida ya mifereji ya machi.,Kuna shida na mfumo wa mifereji ya maji.
Maisha ghawo gheka ndengonyi.,Maisha yao yako hatarini.
Watalii wawiacha isangenyi wepungua.,Kumekuwa na punguzo la idadi ya watalii wanaokuja nchini.
Wandu wechinja watumia maghanga kuwika nyama kwa ngelo ndacha.,Wachinjaji wa nyama wanatumia kemikali hatari kuhifadhi nyama.
Wandu wechinja weghora agho malagho ghawinonia zoghori.,Wachinjaji walidai kuwa habari hiyo inaharibu biashara zao tu.
Kazi nyingi ramerie kubonywa.,Kazi nyingi zimeshafanywa.
Uo mundu olengwa risasi ni polisi.,Mwanamme alilengwa risasi na polisi.
Polisi waghorie risasi ekabwa angu warakulindia.,Polisi walidai kuwa risasi kufyetuliwa ilikuwa kwa sababu ya kujikinga.
Kichuku cha marehemu chakunde hachi ibonyeke.,Jamii ya marehemu inataka haki itendeke.
Ndeerekoghe haja kumlasa uo mundu risasi.,Kulikuwa hakuna sababu ya kumpiga mtu huyo risasi.
Wuchunguzi ghwawiaendelia imanyike kulasana na risasi kwazoe wada.,Machunguzi yanaendelea kuhusu chanzo cha kutupiana risasi.
Mbaa wa ugho mzi mbaa oko na irumirio angu ushindagha wuchaguzi.,Diwani ana imani kuwa atashinda uchaguzi.
Wandu watini wazerelo wigheshe nandighi imbiri eandikwa kazi noko kimonu.,Vijana wameshauriwa wafikirie sana kabla ya kutafuta kazi ng'ambo.
Reho habari rimu ripotinyi righoragha reko kazi ra kimonu.,Kuna habari zaidi katika ripoti kuhusu ajira za ng'ambo.
Nyamandu ra isakenyi renona miwalwa yose mbuwenyi.,Wanyama pori wameharibu mimea yote shambani mwake.
Nyamandu ra isakenyi nisuti rilindilo andu kuwikilo wakfu na seji serikali ighorie.,Wanyama wa porini lazima walindwe katika maeneo yaliyotangazwa kwenye gazeti la serikali.
Wakulima waamue wibwaghe iro nyamandu.,Wakulima wametishia kuwauwa hao wanyama.
Wakulima webonya maandamano mbuwa rawo rendangirilwa ni chovu.,Wakulima walifanya maandamano baada ya ndovu kuvamia shamba lao.
Wachumba wazerelo wimanyane nicha imbiri wiselowuane.,Wachumba wameshauriwa kujuana vizuri kabla ya kufunga ndoa.
Wandu wilowuane wefwana wivumiliane aghadi yawo.,Wenzi wa ndoa wanapaswa kuwa na uvumilivu kati yao.
Vilongozi waja wimangishiro kazi waenjwa kotinyi.,Viongozi waliosimamishwa wataenda mahakamani.
Mbaa wa koti wamerie kufunya wuamuzi ghwa mwisho.,Hakimu ametoa uamuzi wa mwisho.
Vilongozi werekunda kumanya kwaki wimangishiro.,Viongozi walitaka kujua ni kwa nini walisimamishwa.
Werekoghe wandu wengi ikanisenyi.,Kulikuwepo watu wengi kanisani.
Mbaa wa isanga oreendieghe kifonyi.,Rais alihudhuria mazishi.
Mbaa wa isanga wazerie wandu wisekeobua kifwa.,Rais aliwashauri watu wasiogope kifo.
Uo mundu osindeededa oghora wambao wamu weshoghonoka.,Msemaji huyo alisema baadhi ya wenzao walipata ajali.
Okunda kuenda Jerusalem.,Anataka kwenda Yerusalemu.
Mboga ra isangenyi nderidimie kuuzwa cha shighadi ya isanga.,Mboga za nchi hazikufaulu kuuzwa nje ya nchi.
Mbogha rekabwa marufuku sokonyi.,Mboga zimepigwa marufuku kutoka sokoni.
Wazerelo wanekwa mori ghumweri wifume agho maaghi.,Wamepewa ilani ya mwezi mmoja kuondoka katika majengo hayo.
Waisanga walalamikie angu zighe renona mbuwa rawo.,Wenyeji wamelalamikia nzige hao wanaoharibu mashamba yao.
Mpango ghochanja ng'ombe ghwazoya juma ichaa.,Mpango wa chanjo za ng'ombe utaanza juma lijalo.
Marehemu oka ni mundu wa Mlungu uko na ngolo eneka.,Marehemu alikuwa mtu wa Mungu aliye mkarimu.
Marehemu oreghora uriku hekalunyi.,Marehemu aliomba azikwe hekaluni.
Ikanisa jafunya mpango ghwa ibada ya mariko gha marehemu.,Kanisa limetoa mpango wa ibada ya mazishi ya marehemu.
Obwaghwa ni wukongo ghwa homa ya mbafu.,Alifariki kutokana na ugonjwa wa nimonia.
Wughanga ghuko nyamenyi ghwawika maisha gha wandu wiijagha ndengonyi ya kansa.,Dawa zilizomo kwenye nyama huwaweka watu wanaoila kwenye hatari ya kupata saratani.
Nyama yadungwa wughanga eri isekezama.,Nyama hutiwa dawa ili kuihifadhi.
Ofisaa wawi wa polisi wawiakotelwa kwa wundu ghwa mabwaghi gha kafwani.,Maafisa wawili wa polisi wanahojiwa kuhusu mauaji ya hivi majuzi.
Ugho msarigho ghwasarighwa nakio.,Mchezo huo utachezwa usiku.
Iyo timu yashindire icho kikombe mando ana ghiidie.,Timu hiyo imeshinda kombe hilo kwa misimu minne iliyopita.
Vama va mikopo vazerelo viwike akiba rawo kwa mali.,Vyama vya mikopo vinahimizwa kuwekeza akiba zao katika mali.
Waisanga waonyero kwa wundu ghwa mabonyo gha haramu.,Wananchi wameonywa dhidi ya vitendo haramu.
Wana wa skulu wengi weka na wasi mbaa ghwa mashomo gha masabu.,Wanafunzi wana changamoto kubwa ya masomo ya hisabati.
Sharia iyo mbishi ewangwa kukunyora ni washomi.,Sheria hiyo mpya imeitwa kujinyonga na wanauchumi.
Isanga jeka na deni na jefwana jipange malagho nicha.,Nchi ina deni na inahitaji kujipanga vyema.
Uo kilongozi waghorie ukomeshagha wudoi.,Kiongozi huyo aliahidi kukomesha ufisadi nchini.
Mdumiki wa Mlungu ofwa ngelo vueri Krismasi chiida.,Mtumishi wa Mungu alikufa muda mfupi baada ya Krismasi.
Oka umerie kusigha kazi ngelo usaghaa.,Alikuwa ameshastaafu wakati alipofariki.
Mbaa wa ikanisa wa kala wasagha.,Askofu mkuu wa zamani amekufa.
Kilongozi uo obwaghwa ni kansa yairangi.,Kiongozi huyo alifariki kwa saratani ya koo.
Ripoti rimu rechuria refuma kwa mundu oandika habari.,Ripoti zaidi zilitolewa na mwandishi wa habari.
Uhu mundu wafwa oreka Mchili orenighiagha sharia.,Mtu aliyekufa alikuwa mchungaji aliyezingatia kanuni.
Mabonyo gha kilongozi ghindana na madedo ghape.,Matendo ya kiongozi yalilingana na maneno yake.
Marehemu orekundee wandu.,Marehemu alipenda watu.
Ini moni nazighana habari kwa TV kila ituku.,Mimi hutazama habari kwenye runinga kila siku.
Omoni ni umu wa chama cha kilabu chiwangwagha Rotary.,Yeye ni mwanachama wa klabu ya Rotary.
Wawa wapedu oka na miaka mrongo wunyanya na ikenda.,Bibi yangu ana umri wa miaka themanini na tisa.
Wuchaguzi mbaa ghobonyeka kuzoyenyi kwa ughu mwaka.,Uchaguzi mkuu ulifanyika mapema mwaka huu.
Waendeshagha watalii kireti cha nyamandu.,Atakuwa akiendesha watalii kwenye mbuga ya wanyama.
India ni isanga jha wandu wengi nandighi.,India ni nchi yenye watu wengi sana.
Kwabonyaa kaziki?,Unafanya kazi gani?
Mghenyu wapo wafuma mzi ghwa Mwatate kwa weni Fajali.,Rafiki yangu wa Kihindi anatoka mji wa Mwatate kwa jamii ya Fajal.
Kila mundu onughia seji koni ugheshere bila kulalamika.,Kila mtu alifuata uamuzi wake bila malalamiko.
Ushirikianagha na mashindano ghichagha.,Atashiriki katika mashindano yajayo.
Polisi wagundue shekeria ya kifwa.,Polisi waligundua sababu ya kifo.
Kukangia siasa kwakulombia wasi ghwako kumoni.,Jiunge na siasa kwa hatari yako mwenyewe.
Wandu wa siasa repinga wakumbia waisnaga sheshe.,Upinzani huwa na ushawishi zaidi kwa umma.
Wamu wedu ndedikundagha siasa.,Baadhi yetu hatupendi siasa.
Nawuyagha mkongo mando matini sana.,Mimi huwa mgonjwa mara chache sana.
Orekoghe mkiwa kala ela sio agha matuku.,Alikuwa maskini zamani lakini siyo siku hizi.
Wandu wawi wefwa kwa ajali ya mtokaa iguo.,Watu wawili walifariki kwa ajali ya gari jana.
Polisi wahakikisha ni kii chimbwaghie.,Polisi wameidhinisha kilichosababisha kifo chake.
Madereva ghiendeshagha magare kisha ghashekeria ajali chienyi.,Madereva wazembe husababisha ajali barabarani.
Hospitali raaghilo kila andu isangenyi.,Hospitali zimejengwa kila mahali nchini.
Koko na magome alinga bengi?,Una pesa ngapi benki?
Bunge yadumikia waisanga.,Bunge inahudumia wananchi.
Omoni ni umu wa waja wepinga siasa.,Yeye ni mmojawapo wa wapinzani wa siasa.
Orelwa wuda ghoombochua ndoe rawo.,Alipigana vita vya kukomboa ardhi zao.
Omoni washoma habari.,Yeye husoma habari.
Maghanga mengi gha ndembe ghafuma kimonu.,Dawa nyingi za tembe hutoka ng'ambo.
Vilambo viboiswagha isangenyi veko na bei ya ndonyi.,Vitu vinavyotengenezwa nchini viko bei nafuu.
"E wandu wamu wichurikia kutajirika, wazima wachurikia kuwuya wakiwa.","Ilhali watu wengine wanatajirika, wengine wanazidi kuwa maskini."
Wudumiki ghwa serikali ghwakaia hali ya ndonyi.,Huduma ya serikali ni ya kiwango cha chini.
Wadawda weko na chia rawo zima rerighita makongo.,Wataita wana njia zao nyingine za kutibu magonjwa.
Ndeikundika kunywa wughanga kusezerelo ni mrighiti.,Haitakikani kunywa dawa bila agizo la daktari.
Waghora omoni ni daktari ela ndoushomie.,Anasema yeye ni daktari lakini hajasoma.
Nasikire nicha nendanywa wughanga.,Nilisikia vizuri nilipokunywa dawa.
Ukughoriaa moni ghaja ukunde.,Atakuambia mwenyewe lile anataka.
Nekunda nendezighanwa wukongo ghwa korona.,Ninaenda kukaguliwa ugonjwa wa korona.
Aba waboilwaa ni kuzighana televisheni.,Baba yangu anapenda kutazama televisheni.
Wandu wengi werewadwa ni homa.,Watu wengi walishikwa na homa.
Judasi oresaliti Jesu.,Judasi alimsaliti Yesu.
Wadawana wengi wengia genge ra wuhalifu.,Vijana wengi wamejiunga na gen ge za wahalifu.
Oshoghonoka wendavamilwa.,Alijeruhiwa walipovamiwa.
Warikilo hao?,Alizikwa wapi?
Orikwa mzinyi mzawo.,Alizikwa kijijini mwao.
Mkape osagha ukikufungua.,Mke wake alifariki akizaa.
Watumbanyire magome mengi sana gha mariko.,Walikusanya pesa nyingi sana za mazishi.
Oko na ngolo izamie sana.,Ana roho chafu sana.
Wadwae miaka ikumi kuwuya tajiri.,Amechukuwa miaka kumi kuwa tajiri.
Olowolwa ni mwarashu angu mwaighonyi?,Ameolewa na Mkikuyu au Mkamba?
Kala koni kimu chiidie.,Zamani sana msimu uliopita.
Walowolo ni mnduki?,Ameolewa na mtu gani?
Mwatate na Voi agha matuku kochua mbari zima.,Mwatate na Voi siku hizi kumejaa kabila zingine.
Hata ndoune ngunya.,Hata hana haya.
Ai ni magome ghaenga ghikumbilo kwa iyo kazi.,Ah ni pesa nyingi zimemwagwa kwa hiyo kazi.
Uzighanagha maza ra wudumiki .,Ataangalia mambo ya huduma.
Derepwaneghe na mbaa wa kampuni.,Tulikutana na mkubwa wa kampuni.
Ipwanyiko ni mwaka ghuchaa.,Kusanyiko ni mwaka ujao.
Wandu wengi wewingwa wikasokwa ndoe rawo.,Watu wengi wamefukuzwa wakapokonywa shamba zao.
Kilongozi nio moni kidoi.,Kiongozi ndiye mwizi.
Timu izighanagha maza ra ndoe.,Timu itaangalia maswala ya ardhi.
Dinekenyi ngelo digheshe seji ifwane kujibu agho makotio.,Tupeni mda wa kufukiria jinsi ya kujibu hayo maswali.
Wabwaghi suti wiwado.,Wauaji lazima wakamatwe.
Dekeo na mundu uandikagha habari mzinyi.,Tun mwandishi wa habari kijijini.
Wakotere wele polisi wawiabonya kii?,"Ameuliza, Je, polisi wanafanya nini?"
Ijo ni ilagho jengira wowa.,Hilo ni jambo la kuleta uwoga.
Dazoghora vija didimagha kukuwida.,Tutauza vile tunavyoweza kuvuna.
Oka na mipango tele.,Ana mipango chungu nzima.
Waka wadadu wafue kwa chia rimu risemanyikagha.,Wanawake watatu wamekufa kwa njia zisizoeleweka.
Otumia matasa kukora modo.,Alitumia masakasaka kuwasha moto.
Ugho wasi ghuduagha.,Hiyo shida bado ipo.
Serikali yafunyire magome gha maendeleo.,Serikali imetoa pesa za maendeleo.
Ikanisa jechura miradi chiki.,Kanisa limejaza miradi tele.
Dekunda dimanye angu wandu wawianekana ishima.,Tunataka tufahamu kuwa watu wanaheshimiana.
Weko na irumirio wibonyagha nicha matuku gha imbiri.,Wanaimani kuwa watafanya vizuri siku za usoni.
Ijo izungu si rahisi kujitawala.,Hicho kikundi si rahisi kukidhibiti.
Ihi vua inyagha iruwa jikiaka ni ya womi.,Mvua inayonyesha wakati jua likin'gara ni ya kiume.
Ugho mpango ghoka gali kuzoya.,Huo mpango ni gali kuuanzisha.
Mkutano ghotindimishwa.,Mkutano umesimamishwa.
Iro mipande iwi nderawiasikirana.,Pande hizo mbili hazijaelewana.
Webonya mkutano ghwawo isanga izima.,Walifanya mkutano wao nchi nyingine.
Kampuni eka na wabonyi kazi wengi nandighi.,Kampuni ina wafanya kazi wengi mno.
Serikale yazerelo izighane mtalo ghwa wandu.,Serikali imehimizwa iangalie idadi ya watu.
Ni suit kushome vuo vako.,Ni lazima usome vitabu vyako.
Dawaenda sokonyi linu.,Tunaenda sokoni leo.
Wapunguzire matumizi ghikabakia ghaja gha suti.,Wamepunguza matumiza yakabaki yaliyo muhimu.
Vilongozi wawiada magome tu.,Viongozi wanapoteza pesa tu.
Kwafwane kuchurie kubonya wuboisi.,Unahitaji kuongeza utengenezaji.
Mando ghamu natambwa wagheshagha wada!,Mara nyingine hushangaa anafikiria vipi!
Waka wunyanya wabwaghilo anyaja.,Wanawake nane wameuwawa pale.
Wandu weshinulwa woruwu ni kifwa chape.,Watu walishangazwa sana na kifo chake.
Deko na wuloli angu dishindagha.,Tuna uhakika kuwa tutashinda.
Nyamandu rewikwa kilemba chimu.,Wanyama wamewekwa mahali msituni.
Mradi ghutesiagha isanga.,Mradi utasaidia nci.
Ni suti wisaghuo vilongozi wawo kwa kukaba kura.,Ni lazima wawachague viongzi wao kwa kupiga kura.
Wabonya ndisha ya mifugho rawo kireti.,Wanalisha mifugo yao mbugani.
Walima vindo iparenyi.,Wanafanya ukulima bondeni kwenye majimaji.
Weagha mzi ghwawo mghondinyi.,Wamejenga nyumba yao mlimani.
Ndewiwadie sukari ikate wandu wose.,Hawana sukari inayotosha watu wote.
Kampuni nderidimagha kuzighana haja ra wandu na kuridukia msigo seji ifwane.,Kampuni haziwezi kuangalia mahitaji ya watu na kuzishughulikia itakikanavyo.
Soko ya manga ndeiko.,Hakuna soko la mihogo.
Dekunda dighenje vindo vedu vizoghoro cha kimonu.,Tunataka vyakula vyetu viuzwe katika soko za nje.
Ngera yadimika polisi wiinjo diredelo ijeshi.,Kama ingewezekana polisi waondolewe tuletewe jeshi.
Dikiragha kikombe cha mashindano gha ii misarigho.,Tutaokoa kombe la mashindano ya huu mchezo.
Mashindano gjizoyagha kafwani.,Mashindano yataanza hivi punde.
Kukora maka kwawianona isanga.,Kuchoma makaa kunaharibu nchi.
Ni suti dilindie vilambo vose dinekelo ni Mlungu.,Ni lazima tuhifadhi rasilimali tuliopewa na Mungu.
Iyo kazi yalenga kulindia mazingira.,Hiyo kazi inalenga kulinda mazingira.
Vilongozi watumia magome kisaya angu si ghawo ghangi.,Viongozi wanatumia pesa vibaya kwa sababu sio zao.
Mndungi ndoukundikie kumaramara nakio.,Mtu yeyote hatakikani kurandaranda usiku.
Wandu wamu wiko na vichuku kwa serikali wapendelelwa.,Watu wengine walioko na ukoo kwa serikali wanapendelewa.
Wandu wengi wipatagha wasi.,Watu wengi watapata shida.
Ndediwadie wuloli ngera agho makaratasi ni gha kilolia.,Hatuna uhakika kama makaratasi hayo ni ya halali.
Olwilongoza wikapata wusimi.,Aliwaongoza wakapata ushindi.
Dabonya dingie kwa ndighi.,Tuitafanya kuingia kwa lazima.
Wedilomba magome.,Walituomba fedha.
Maofisaa wa serikali mando mengi ndewiendagha ofisinyi.,Maafisa wa serikali mara nyingi hawaendi ofisini.
Varo va nakio veghirilwa.,Safari za usiku zimezuiliwa.
Linu koni dizighanagha ijo ilagho.,Leo hii tutachunguza hilo jambo.
Sharia refwana righaluso.,Sheria zinafaa kubadilishwa.
Wamu ndewiboilo ni chia mbishi rebonya malagho.,Wengine hawajafurahia kufanya mambo upya.
Agho ni malagho gha kala.,Hayou ni mambo ya zamani.
Dimnekagha ripoti ikangia.,Tutawapa ripoti ikiwasili.
Ngelo ra habari ralighisa kuvika.,Saa ya habari iko karibu kufika.
Ndewiwadie magome ghelipia wurighiti.,Hawana pesa za kulipia matibabu.
Mundu wa habari wandekikotia wandu.,Mwana habari aliwahoji watu.
Mbaa wa timu wangirie iguo,Mkubwa wa timu aliwasili jana.
Waja wandu wawi wangia.,Wale wawili wamewasili.
Wandu wa ijo isanga wawiapata wasi.,Watu wa nchi ile wanapata shida.
Maisha ghamerie kughaluka nandighi iji isanga.,Maisha yamebadilika sana nchi hii.
Wandu wawiapata wasi kulipa mikopo.,Watu wanapata shida kulipa mikopo.
Mawakili ghegoma kucha kotinyi.,Mawakili waligoma kuja kotini.
Diduagha dikizighana agho malagho.,"Bado tunachunguza hayo mam,bo."
Ndewidimagha kughenjwa imbiri.,Hawawezi kupelekwa mbele.
Wegoma wikawika viria andonyi.,Wamegoma na kuweka silaha zao chini.
Wazighana seji wandu wawiapata wasi kwa wundu ghwa njala.,Anachunguza jinsi watu wanataabika kwa sababu ya njaa.
Walipwa indo jimweri kwa mori.,Wanalipwa mara moja kwa mwezi.
Darimisha modo.,Tutazima moto.
Waja wichagha wachelewa ndewifulwagha wughoma.,Wale watakuja wamechelewa hawatasamehewa.
Ofisi reka rifungilo.,Ofisi zimefungwa.
Vua yanyee mbaa iguo.,Mvua kuwa ilinyesha jana.
Malagho mawishi ghereda monyomonyo.,Mambo mapya yameleta rabsha.
Kiruwuko chedukwa ni machi.,Daraja imebebwa na maji.
Ndedidimagha kuruwuka moda.,Hatuwezi kuvuka mto.
Ndewivikie mzinyi.,Hawakufika nyumbani.
Enja makaritai ghako kwa wabaa.,Peleka makaratasi yako kwa wakubwa.
Lengo ni kuelimisha wadawana.,Lengo ni kuelimisha vijana.
Dawiaenda kaba kura kwa indo jha imbiri.,Tunaenda kupiga kura kwa mara ya kwanza.
